game_id,player_id,Player,MIN,FGM-A,3PM-A,FTM-A,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
12,1.0,Brandon Joseph,4,0-1,0-0,0-0,1,1,2,1,0,0,2,1,0
12,2.0,Onterio Miller,19,2-8,1-5,2-Jan,0,1,1,1,1,0,1,1,6
12,8.0,Liech Kong,12,2-3,0-1,0-0,1,0,1,1,0,0,0,1,4
12,16.0,Can Dalli,23,4-11,2-8,0-0,0,3,3,0,1,0,0,2,10
12,19.0,Jon Perry,7,0-1,0-0,0-0,1,0,1,0,1,0,1,1,0
13,3.0,Darrell Green,24,1-4,1-3,2-2,0,1,1,2,0,0,1,2,5
13,8.0,Liech Kong,28,3-6,1-3,1-2,0,7,7,0,1,1,7,3,8
13,,Darnell Morris Jr.,22,2-4,0-1,0-0,0,1,1,1,1,0,4,2,4
13,11.0,Jacob Morgan,34,2-5,1-1,7-8,0,4,4,5,1,0,5,2,12
13,20.0,Alex Miller,10,1-1,0-0,0-0,2,2,4,0,0,0,1,3,2
13,1.0,Brandon Joseph,16,3-6,0-0,4-7,1,3,4,0,2,0,3,3,10
13,2.0,Onterio Miller,10,0-1,0-1,0-0,1,0,1,0,1,0,2,0,0
13,5.0,Thomas Lewis,11,1-2,1-2,0-0,0,0,0,1,0,0,0,0,3
13,6.0,Jaden Workman,10,0-2,0-1,0-0,0,0,0,0,0,0,3,2,0
13,9.0,Mal Graham,4,0-1,0-0,0-0,0,0,0,0,1,0,0,1,0
13,12.0,Peter Capan,5,0-1,0-1,0-0,0,0,0,1,0,0,0,0,0
13,13.0,David Nwankwo,3,0-1,0-0,2-2,1,0,1,0,0,0,1,1,2
13,16.0,Can Dalli,17,2-6,2-6,0-0,0,3,3,0,0,0,1,1,6
13,19.0,Jon Perry,6,0-3,0-1,3-4,2,4,6,0,0,0,0,2,3
13,,Team,0,,,,4,3,7,0,0,0,0,0,0
14,8.0,Liech Kong,27,5-12,3-7,0-1,3,2,5,1,0,1,1,3,13
14,3.0,Darrell Green,31,2-9,0-4,0-0,5,2,7,0,1,1,1,2,4
14,,Darnell Morris Jr.,15,1-5,1-3,0-1,0,2,2,0,1,0,2,0,3
14,11.0,Jacob Morgan,38,3-10,0-3,6-8,3,4,7,7,5,0,8,1,12
14,16.0,Can Dalli,26,2-9,2-7,0-0,0,1,1,2,1,0,3,4,6
14,1.0,Brandon Joseph,8,1-2,0-0,0-0,1,0,1,1,0,2,2,1,2
14,2.0,Onterio Miller,12,2-6,2-4,0-0,1,1,2,1,1,0,0,3,6
14,5.0,Thomas Lewis,3,0-1,0-1,0-0,0,0,0,0,0,0,1,1,0
14,6.0,Jaden Workman,23,4-7,2-3,4-5,0,2,2,2,0,1,0,3,14
14,20.0,Alex Miller,17,2-3,0-0,0-0,2,7,9,1,0,2,1,1,4
15,8.0,Liech Kong,29,8-12,4-7,1-4,3,9,12,2,1,0,4,3,21
15,20.0,Alex Miller,24,2-6,0-0,0-2,0,0,0,3,2,1,3,2,4
15,6.0,Jaden Workman,30,2-4,1-2,2-3,0,3,3,1,2,1,2,1,7
15,11.0,Jacob Morgan,36,7-11,2-5,2-2,1,2,3,10,5,0,1,2,18
15,16.0,Can Dalli,23,1-5,1-4,0-0,0,3,3,0,0,0,2,0,3
15,1.0,Brandon Joseph,22,1-3,0-0,0-0,0,2,2,0,0,0,0,1,2
15,2.0,Onterio Miller,19,6-8,5-6,0-0,1,1,2,0,1,0,1,1,17
15,3.0,Darrell Green,7,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
15,,Darnell Morris Jr.,6,1-4,1-4,0-0,0,0,0,0,0,0,2,4,3
15,19.0,Jon Perry,4,0-1,0-1,0-0,0,1,1,0,0,0,0,0,0
16,8.0,Liech Kong,33,5-11,2-3,1-2,0,4,4,0,2,0,2,0,13
16,20.0,Alex Miller,13,0-3,0-0,0-0,0,1,1,2,0,0,1,1,0
16,3.0,Darrell Green,21,1-3,1-3,1-2,0,2,2,1,1,0,0,1,4
16,6.0,Jaden Workman,24,6-9,1-2,4-5,1,3,4,2,0,0,2,1,17
16,11.0,Jacob Morgan,32,4-13,0-2,1-1,1,5,6,0,0,0,3,0,9
16,1.0,Brandon Joseph,16,3-6,0-0,0-0,3,1,4,0,0,0,1,4,6
16,2.0,Onterio Miller,13,0-4,0-1,0-0,0,0,0,0,0,0,1,3,0
16,5.0,Thomas Lewis,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
16,7.0,Josiah Gregg,2,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0
16,9.0,Mal Graham,3,0-0,0-0,1-2,0,0,0,0,0,0,0,0,1
16,,Darnell Morris Jr.,12,0-3,0-2,0-0,0,0,0,0,0,0,0,0,0
16,12.0,Peter Capan,2,1-1,0-0,0-0,0,0,0,0,0,0,0,0,2
16,13.0,David Nwankwo,2,0-0,0-0,1-2,1,0,1,0,0,0,0,0,1
16,15.0,Jordan Price,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
16,16.0,Can Dalli,13,0-4,0-3,0-0,0,2,2,0,0,0,0,1,0
16,17.0,BJ Smith,2,0-1,0-0,0-0,0,0,0,0,0,0,0,1,0
16,18.0,Stefan Macakanja,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
16,19.0,Jon Perry,6,0-2,0-1,0-0,0,0,0,0,0,0,0,0,0
16,,James Dugan,1,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0
17,8.0,Liech Kong,32,5-11,0-3,3-7,1,4,5,0,0,1,2,0,13
17,3.0,Darrell Green,37,6-10,1-3,6-9,0,4,4,1,1,2,2,4,19
17,6.0,Jaden Workman,40,7-12,0-0,6-8,1,5,6,0,0,0,3,3,20
17,11.0,Jacob Morgan,35,8-15,0-2,7-8,1,2,3,6,4,0,3,4,23
17,16.0,Can Dalli,18,0-1,0-0,0-0,0,2,2,1,2,0,2,3,0
17,1.0,Brandon Joseph,12,2-4,0-0,0-2,0,2,2,0,0,0,0,2,4
17,2.0,Onterio Miller,34,3-9,1-4,2-4,2,3,5,1,1,1,0,5,9
17,,Darnell Morris Jr.,13,2-3,0-0,1-2,0,1,1,0,0,0,1,0,5
17,19.0,Jon Perry,3,1-1,1-1,0-0,1,1,2,1,0,0,0,0,3
17,20.0,Alex Miller,1,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0
18,8.0,Liech Kong,39,6-12,4-8,1-2,1,9,10,3,1,1,1,3,17
18,20.0,Alex Miller,20,4-10,0-0,0-0,1,1,2,1,0,2,3,5,8
18,3.0,Darrell Green,25,3-9,2-6,3-3,0,2,2,2,1,0,1,3,11
18,6.0,Jaden Workman,21,0-2,0-0,0-0,0,1,1,4,0,0,2,1,0
18,11.0,Jacob Morgan,35,5-15,0-2,6-8,1,4,5,3,2,0,2,2,16
18,1.0,Brandon Joseph,20,1-2,0-0,2-2,4,2,6,2,0,1,2,4,4
18,2.0,Onterio Miller,24,4-9,1-2,0-0,4,2,6,0,1,0,0,0,9
18,,Darnell Morris Jr.,6,1-2,0-1,0-0,0,2,2,0,0,0,1,1,2
18,16.0,Can Dalli,8,1-3,0-2,0-0,0,0,0,0,0,0,1,0,2
18,19.0,Jon Perry,2,0-1,0-0,0-0,0,1,1,0,0,0,0,0,0
19,8.0,Liech Kong,36,4-10,1-4,2-4,3,5,8,0,1,2,4,1,11
19,20.0,Alex Miller,12,1-3,0-0,0-0,1,1,2,0,1,0,1,1,2
19,3.0,Darrell Green,29,3-5,2-4,3-4,2,4,6,0,0,1,1,1,11
19,6.0,Jaden Workman,24,2-3,1-1,0-1,2,1,3,2,0,0,1,1,5
