game_id,Player,Player_and_number,MIN,FGM-A,3PM-A,FTM-A,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
10,Darnell Morris Jr.,G20Darnell Morris Jr.,12,0-4,0-2,0-0,0,0,0,1,1,0,2,1,0
10,Peter Capan,G22Peter Capan,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
10,Jordan Price,G31Jordan Price,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
10,BJ Smith,G40BJ Smith,5,0-2,0-1,0-0,1,1,2,1,0,0,1,0,0
10,Jon Perry,G44Jon Perry,2,"""1-2""",0-0,0-0,1,1,2,0,0,0,0,0,2
10,Alex Miller,F45Alex Miller,8,"""1-2""",0-0,0-0,0,1,1,0,0,1,1,1,2
10,TEAM,TMTEAM,,,,,0,2,2,,,,3,0,
10,TALS,TOTALS,,23-68,"""7-30""","""5-11""",11,22,33,10,7,4,21,11,58
10,,,,33.80%,23.30%,45.50%,,,,,,,,,
11,ARTERS,STARTERS,,,,,,,,,,,,,
11,Liech Kong,F14Liech Kong,25,"""3-12""","""1-7""","""1-4""",1,4,5,0,0,3,2,1,8
11,Onterio Miller,G01Onterio Miller,20,"""3-8""","""1-4""",0-0,2,2,4,1,0,0,0,2,7
11,Darrell Green,G02Darrell Green,20,"""3-8""","""2-5""",0-2,1,1,2,1,0,1,0,2,8
11,Jaden Workman,G11Jaden Workman,16,"""2-2""",0-0,"""2-3""",1,0,1,0,0,0,2,0,6
11,Jacob Morgan,G21Jacob Morgan,29,"""5-13""","""1-2""","""6-9""",3,0,3,2,2,0,1,4,17
11,SERVES,RESERVES,,,,,,,,,,,,,
11,Brandon Joseph,F00Brandon Joseph,7,0-1,0-0,0-2,1,2,3,0,0,1,0,1,0
11,Thomas Lewis,G05Thomas Lewis,7,0-2,0-2,0-0,0,0,0,1,0,0,1,1,0
11,Josiah Gregg,F12Josiah Gregg,4,"""1-1""",0-0,0-0,0,0,0,1,1,0,1,2,2
11,Mal Graham,G15Mal Graham,4,"""1-3""",0-1,0-0,0,0,0,0,1,0,0,0,2
11,Darnell Morris Jr.,G20Darnell Morris Jr.,19,"""2-2""","""1-1""","""2-5""",0,4,4,1,2,1,1,3,7
11,Peter Capan,G22Peter Capan,2,0-0,0-0,0-0,0,0,0,0,0,0,1,1,0
11,David Nwankwo,F23David Nwankwo,4,0-1,0-0,"""1-2""",0,2,2,0,0,0,0,1,1
11,Can Dalli,G32Can Dalli,15,"""1-5""","""1-3""",0-0,0,0,0,0,0,0,1,2,3
11,BJ Smith,G40BJ Smith,6,0-0,0-0,0-0,0,0,0,0,0,0,0,2,0
11,Jon Perry,G44Jon Perry,14,"""1-5""",0-1,"""1-2""",7,2,9,0,0,0,1,0,3
11,Alex Miller,F45Alex Miller,8,0-1,0-0,0-0,0,2,2,0,0,1,1,2,0
11,TEAM,TMTEAM,,,,,0,3,3,,,,1,0,
11,TALS,TOTALS,,22-64,"""7-26""",13-29,16,22,38,7,6,7,13,24,64
11,,,,34.40%,26.90%,44.80%,,,,,,,,,
12,ARTERS,STARTERS,,,,,,,,,,,,,
12,Alex Miller,F45Alex Miller,30,"""7-8""",0-0,0-1,2,5,7,1,0,2,1,1,14
12,Darrell Green,G02Darrell Green,31,"""4-6""","""2-4""",0-0,1,5,6,1,0,2,2,2,10
12,Jaden Workman,G11Jaden Workman,20,"""2-3""",0-0,0-0,0,2,2,2,1,1,0,0,4
12,Darnell Morris Jr.,G20Darnell Morris Jr.,21,"""1-7""",0-2,0-0,0,4,4,1,2,0,3,2,2
12,Jacob Morgan,G21Jacob Morgan,33,"""4-11""","""1-2""","""3-3""",1,1,2,4,2,0,3,2,12
12,SERVES,RESERVES,,,,,,,,,,,,,
12,Brandon Joseph,F00Brandon Joseph,4,0-1,0-0,0-0,1,1,2,1,0,0,2,1,0
12,Onterio Miller,G01Onterio Miller,19,"""2-8""","""1-5""",2-Jan,0,1,1,1,1,0,1,1,6
12,Liech Kong,F14Liech Kong,12,"""2-3""",0-1,0-0,1,0,1,1,0,0,0,1,4
12,Can Dalli,G32Can Dalli,23,"""4-11""","""2-8""",0-0,0,3,3,0,1,0,0,2,10
12,Jon Perry,G44Jon Perry,7,0-1,0-0,0-0,1,0,1,0,1,0,1,1,0
12,TEAM,TMTEAM,,,,,0,3,3,,,,0,0,
